                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.85998,                0.88572,                 1.2509,                0.70119,                0.58522,                 0.6543,                0.47849,                0.95892,                 1.1004,                 1.3431,             0.00036307,             0.00036307,             0.00036307
                     36,                0.85299,                0.87407,                 1.2495,                0.68335,                0.59618,                0.65649,                0.47945,                0.95548,                 1.0867,                 1.3474,             0.00034108,             0.00034108,             0.00034108
                     37,                0.84872,                0.85041,                 1.2456,                0.68389,                0.59804,                0.65947,                  0.482,                0.94436,                 1.1054,                 1.3354,             0.00031908,             0.00031908,             0.00031908
                     38,                0.84011,                0.84118,                 1.2406,                0.70279,                0.58424,                0.65455,                0.47821,                0.94896,                 1.1211,                 1.3293,             0.00029708,             0.00029708,             0.00029708
                     39,                0.83909,                0.81659,                 1.2378,                0.70806,                0.58658,                0.66717,                0.49001,                0.95053,                 1.0859,                 1.3337,             0.00027508,             0.00027508,             0.00027508
                     40,                0.82672,                0.79703,                 1.2292,                0.67482,                0.60704,                 0.6629,                0.48612,                0.95514,                 1.0961,                 1.3419,             0.00025309,             0.00025309,             0.00025309
                     41,                0.82511,                 0.7841,                 1.2221,                0.67946,                0.61906,                0.66766,                0.49071,                0.95512,                 1.0714,                 1.3338,             0.00023109,             0.00023109,             0.00023109
                     42,                0.80872,                0.76692,                 1.2164,                0.67977,                 0.5993,                0.65656,                0.48093,                0.94998,                 1.1063,                 1.3346,             0.00020909,             0.00020909,             0.00020909
                     43,                0.80652,                0.75628,                 1.2157,                0.67977,                0.60067,                0.65564,                0.47986,                0.95214,                 1.1036,                 1.3362,             0.00018709,             0.00018709,             0.00018709
                     44,                0.79944,                0.73696,                 1.2124,                0.67605,                0.61084,                0.66151,                0.48735,                0.94917,                  1.101,                 1.3337,             0.00016509,             0.00016509,             0.00016509
                     45,                0.78981,                0.71956,                 1.1999,                0.67441,                0.61415,                0.66545,                0.48812,                0.95658,                 1.0867,                 1.3416,              0.0001431,              0.0001431,              0.0001431
                     46,                0.79396,                0.71165,                  1.198,                0.67042,                0.60884,                0.66079,                0.48692,                0.95298,                  1.097,                 1.3357,              0.0001211,              0.0001211,              0.0001211
                     47,                0.78951,                0.69737,                 1.1999,                0.70141,                0.58905,                0.65891,                0.48667,                0.95317,                 1.0958,                 1.3349,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                 0.7854,                0.69375,                  1.195,                 0.6731,                0.60514,                 0.6593,                0.48571,                 0.9537,                  1.089,                  1.338,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.76856,                 0.6745,                 1.1879,                0.66076,                0.61259,                0.65913,                0.48537,                0.95053,                 1.0935,                 1.3307,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.77665,                0.66854,                 1.1894,                0.67268,                0.61452,                0.66286,                0.48821,                0.95214,                 1.0931,                 1.3347,             3.3108e-05,             3.3108e-05,             3.3108e-05
